"crop","n_samples","Mean_aliphatic","SE_aliphatic","Mean_1580_1660","SE_1580_1660","Mean_1500_1550","SE_1500_1550","Mean_simple_plant_prop","SE_simple_plant_prop","Mean_complex_plant_prop","SE_complex_plant_prop","Mean_microbial_prop","SE_microbial_prop","Mean_simple_microbial","SE_simple_microbial","Mean_complex_microbial","SE_complex_microbial"
"rice",9,-56.8007493092644,4.21236597371534,-44.150663262605,0.872061582724133,-20.9341054789374,0.587423684331776,0.461107043400243,0.0195305370844757,0.172950904701883,0.00554579156379792,0.365942051897875,0.0141660230279851,1.29086946853726,0.100730769512159,0.473743691195095,0.005979620902507
"soy",5,-47.224311277626,12.0290547226826,-48.1368675177611,4.38987778261318,-21.5134329504112,2.84083724013966,0.362919846179109,0.0733381148616347,0.190538501899145,0.0118401068661615,0.446541651921746,0.0616210213859264,0.929367549531807,0.212503405836872,0.440486261482146,0.0255384628759417
"wheat",3,-59.7616685539227,2.91440803331528,-48.3793354117818,0.972296183686075,-23.5733839196491,0.573784621650003,0.453304169800891,0.0141415178351266,0.179087728432808,0.0046323803105866,0.367608101766301,0.00956618768563906,1.23682122027268,0.0712747756115977,0.487183161262813,0.00238705189407977
