"crop","timepoint","n_samples","Mean_aliphatic","SE_aliphatic","Mean_1580_1660","SE_1580_1660","Mean_1500_1550","SE_1500_1550","Mean_simple_plant_prop","SE_simple_plant_prop","Mean_complex_plant_prop","SE_complex_plant_prop","Mean_microbial_prop","SE_microbial_prop","Mean_simple_microbial","SE_simple_microbial","Mean_complex_microbial","SE_complex_microbial"
"rice","wk0",7,-57.5720633975753,5.37532039787847,-44.0597012217477,1.12494624956302,-20.8544135013612,0.749101680266076,0.464017947464603,0.0247208148052998,0.171683730976067,0.00677443932880065,0.36429832155933,0.0181264976484582,1.31140671595387,0.127592434878732,0.472845550879432,0.00760673224794821
"rice","wk10",2,-54.101150000176,4.75809237911471,-44.4690304056057,0.819626885200705,-21.2130274004539,0.733588375151157,0.45091887917498,0.0276579066590682,0.177386012742239,0.0108703780139502,0.371695108082782,0.016787528645118,1.2189891025791,0.129465575656659,0.476887182299915,0.00770691009461122
"soy","wk0",1,-44.2647024188773,NA,-46.1491656744947,NA,-20.1360175085028,NA,0.400404778149554,NA,0.18214417318367,NA,0.417451048666776,NA,0.959165821785183,NA,0.436324627199738,NA
"soy","wk10",4,-47.9642134923131,15.5000377544698,-48.6337929785777,5.6308809305876,-21.8577868108882,3.640461656562,0.353548613186498,0.0939029559674643,0.192637084078014,0.0150434971244864,0.453814302735488,0.0789964010444586,0.921917981468463,0.2741720914193,0.441526670052748,0.0329426429842352
"wheat","wk0",2,-59.1416968476806,4.93236533565141,-47.4944947869462,0.698033532398767,-23.0266316511979,0.301450239602673,0.455384294927937,0.0242273980941229,0.177822656563225,0.00771852456886039,0.366793048508838,0.0165088735252625,1.24702835975856,0.12217906459782,0.484838828304196,0.000778690678329919
"wheat","wk10",1,-61.0016119664069,NA,-50.1490166614531,NA,-24.6668884565515,NA,0.449143919546799,NA,0.181617872171974,NA,0.369238208281227,NA,1.21640694130092,NA,0.491871827180047,NA
