sample1_id,sample2_id,sample1_filename,sample2_filename,sample1_run_date,sample2_run_date,correlation,group,outlier_status
62,94,13C_soil_soybean_pot62_0wk.dpt,13C_soil_soybean_pot94_10wk.dpt,12/9/24,12/9/24,0.9834457884398974,soy_soil_all_timepoints,Normal
28,28,13C_soil_wheat_pot28_0wk.dpt,13C_soil_soybean_pot28_0wk.dpt,12/5/24,12/9/24,0.983599470562242,wheat_soil_all_timepoints,Normal
27,79,12C_soil_noplant_pot27_0wk.dpt,13C_soil_rice_pot79_0wk.dpt,12/5/24,12/9/24,0.9848689798342304,rice_soil_all_timepoints,Normal
28,32,13C_soil_wheat_pot28_0wk.dpt,13C_soil_wheat_pot32_0wk.dpt,12/5/24,12/9/24,0.9886481832900964,wheat_soil_all_timepoints,Normal
50,80,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot80_10wk.dpt,12/5/24,12/9/24,0.9887062286035402,soy_soil_all_timepoints,Normal
79,87,13C_soil_rice_pot79_0wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/9/24,12/9/24,0.9888837268625561,rice_soil_all_timepoints,Normal
29,53,13C_soil_wheat_pot29_10wk.dpt,13C_soil_wheat_pot53_10wk.dpt,12/9/24,12/9/24,0.9911808348301214,wheat_soil_all_timepoints,Normal
28,29,13C_soil_wheat_pot28_0wk.dpt,13C_soil_wheat_pot29_10wk.dpt,12/5/24,12/9/24,0.9925798987708959,wheat_soil_all_timepoints,Normal
12,50,13C_soil_soybean_pot12_10wk.dpt,13C_soil_soybean_pot50_0wk.dpt,12/9/24,12/9/24,0.9927134627472385,soy_soil_all_timepoints,Normal
28,29,13C_soil_soybean_pot28_0wk.dpt,13C_soil_wheat_pot29_10wk.dpt,12/9/24,12/9/24,0.9932771657912448,wheat_soil_all_timepoints,Normal
12,94,13C_soil_soybean_pot12_10wk.dpt,13C_soil_soybean_pot94_10wk.dpt,12/9/24,12/9/24,0.9939618738735413,soy_soil_all_timepoints,Normal
119,79,13C_soil_rice_pot119_10wk.dpt,13C_soil_rice_pot79_0wk.dpt,12/9/24,12/9/24,0.9948169829114077,rice_soil_all_timepoints,Normal
29,32,13C_soil_wheat_pot29_10wk.dpt,13C_soil_wheat_pot32_0wk.dpt,12/9/24,12/9/24,0.9950343470316896,wheat_soil_all_timepoints,Normal
